id,source,destination,distance_meters,road_type,speed_limit_kmh,capacity
1,206291068,3890222330,2114.29,motorway,80.0,500
2,206291068,3890222330,2115.55,motorway,80.0,500
3,245653028,245653078,755.61,secondary,40.0,200
4,245653028,4307040267,159.73,secondary,40.0,200
5,245653028,459482449,760.81,tertiary,30.0,100
6,245653078,245653028,755.61,secondary,40.0,200
7,245653078,486004376,94.58,secondary,40.0,200
8,245653413,4244274459,13.93,tertiary,30.0,100
9,245653413,12414405105,831.46,secondary,40.0,200
10,245653413,2176726928,349.83,tertiary,30.0,100
11,245653464,10886066851,17.43,tertiary,30.0,100
12,245653464,4048579846,592.32,secondary,40.0,200
13,245653464,4307040346,396.02,secondary,40.0,200
14,245653559,10886066849,5.61,tertiary,30.0,100
15,245653559,10886066851,619.74,tertiary,30.0,100
16,245653613,7461994658,9.45,secondary,40.0,200
17,245653613,7461994655,24.76,tertiary,30.0,100
18,245653633,4307040346,9.04,tertiary,30.0,100
19,245653633,245653464,397.76,secondary,40.0,200
20,245653649,10886054725,12.21,tertiary,30.0,100
21,245653649,4307040343,127.77,tertiary,30.0,100
22,245653649,245653820,516.09,tertiary,30.0,100
23,245653665,4328236683,19.85,tertiary,30.0,100
24,245653671,485977586,343.71,tertiary,30.0,100
25,245653671,245653745,332.31,tertiary,30.0,100
26,245653671,12350793007,199.73,tertiary,30.0,100
27,245653671,10886054725,190.49,tertiary,30.0,100
28,245653718,245653665,165.61,tertiary,30.0,100
29,245653718,2176742012,279.7,secondary,40.0,200
30,245653745,13700547679,40.47,tertiary,30.0,100
31,245653745,485984666,32.95,secondary_link,35.0,150
32,245653748,245653753,23.4,primary,50.0,300
33,245653748,245653718,96.75,secondary,40.0,200
34,245653753,245653771,41.0,primary,50.0,300
35,245653757,12350777518,564.26,tertiary,30.0,100
36,245653757,245653748,31.72,primary,50.0,300
37,245653771,485977586,243.04,primary,50.0,300
38,245653771,13830528568,9.35,primary,50.0,300
39,245653777,245653757,9.17,primary,50.0,300
40,245653781,245653783,27.7,primary,50.0,300
41,245653781,4361337156,53.74,primary,50.0,300
42,245653783,485973491,38.53,primary,50.0,300
43,245653783,245653777,39.44,primary,50.0,300
44,245653788,2176684445,9.47,tertiary,30.0,100
45,245653788,2176684445,464.68,tertiary,30.0,100
46,245653788,4244274463,250.65,tertiary,30.0,100
47,245653820,2168581047,17.49,secondary,40.0,200
48,245653820,245653830,102.78,primary,50.0,300
49,245653830,4244306276,22.5,secondary,40.0,200
50,245653830,11052629982,15.45,secondary,40.0,200
51,245653830,4244306274,17.31,primary,50.0,300
52,245653840,528622444,104.91,tertiary,30.0,100
53,245653840,2176684837,12.95,tertiary,30.0,100
54,245653855,9313067505,12.96,tertiary,30.0,100
55,245653869,2176684763,228.74,tertiary,30.0,100
56,245653870,528644374,177.96,primary,50.0,300
57,245653871,245653869,9.23,tertiary,30.0,100
58,245653871,2176701305,9.27,tertiary,30.0,100
59,245653871,2176701319,121.21,tertiary,30.0,100
60,245653901,7353554810,33.92,tertiary,30.0,100
61,245653901,245653917,261.22,tertiary,30.0,100
62,245653917,245653956,130.19,primary,50.0,300
63,245653917,495097987,159.56,primary,50.0,300
64,245653923,10886054717,6.76,tertiary,30.0,100
65,245653923,245653961,125.76,secondary,40.0,200
66,245653923,4307040348,307.71,tertiary,30.0,100
67,245653928,486404313,16.98,primary,50.0,300
68,245653928,245654001,244.9,primary,50.0,300
69,245653956,536839590,66.66,tertiary,30.0,100
70,245653956,495098003,71.47,primary,50.0,300
71,245653956,245653917,130.19,primary,50.0,300
72,245653961,10886054716,7.23,tertiary,30.0,100
73,245653961,2241842966,222.63,tertiary,30.0,100
74,245653961,6608759216,332.58,secondary,40.0,200
75,245654001,486404283,13.85,tertiary,30.0,100
76,245654001,10595675493,231.84,primary,50.0,300
77,245654003,13701955562,27.01,primary,50.0,300
78,245654036,245654056,105.9,tertiary,30.0,100
79,245654041,245654042,49.28,tertiary,30.0,100
80,245654041,13701955567,86.4,primary,50.0,300
81,245654042,12557973951,25.74,tertiary,30.0,100
82,245654056,13701996607,18.05,tertiary,30.0,100
83,245654056,2175568308,51.13,tertiary,30.0,100
84,245654066,2175568308,69.61,tertiary,30.0,100
85,245654066,245654042,225.31,tertiary,30.0,100
86,245654108,12587158362,10.76,secondary,40.0,200
87,245654108,12587158364,4.56,secondary,40.0,200
88,245654161,662188952,10.32,tertiary,30.0,100
89,245654161,662994491,122.1,tertiary,30.0,100
90,245654164,2163539007,132.77,tertiary,30.0,100
91,245654164,245654174,224.6,tertiary,30.0,100
92,245654172,2163539007,11.03,tertiary,30.0,100
93,245654172,662188952,187.2,tertiary,30.0,100
94,245654172,12400147208,285.82,primary,50.0,300
95,245654174,1643105844,109.65,tertiary,30.0,100
96,245654174,245654164,224.6,tertiary,30.0,100
97,245654186,245654191,32.89,secondary,40.0,200
98,245654186,1643105844,8.6,secondary,40.0,200
99,245654186,245654386,507.52,primary,50.0,300
100,245654191,245654385,487.67,tertiary,30.0,100
101,245654191,245654226,111.72,secondary,40.0,200
102,245654226,10281938570,53.11,secondary,40.0,200
103,245654283,10281938570,27.92,secondary,40.0,200
104,245654283,9911678745,37.79,primary,50.0,300
105,245654326,662994570,277.56,tertiary,30.0,100
106,245654326,245654356,171.87,tertiary,30.0,100
107,245654326,13700599274,601.52,tertiary,30.0,100
108,245654356,662429758,8.12,tertiary,30.0,100
109,245654356,13701979054,215.75,tertiary,30.0,100
110,245654356,245654326,171.87,tertiary,30.0,100
111,245654369,2163539019,11.61,primary,50.0,300
112,245654369,2163539013,283.43,primary,50.0,300
113,245654376,1643105879,77.67,primary_link,40.0,250
114,245654376,1643105886,49.43,primary,50.0,300
115,245654379,2163503474,10.83,secondary,40.0,200
116,245654379,245654376,99.17,primary,50.0,300
117,245654381,12258145308,12.45,primary,50.0,300
118,245654381,13700651181,27.35,secondary,40.0,200
119,245654385,245654226,526.01,tertiary,30.0,100
120,245654386,2163503480,10.39,primary,50.0,300
121,245654386,2166873264,62.51,primary,50.0,300
122,245654426,1643105819,727.09,tertiary,30.0,100
123,245654426,245654566,386.48,tertiary,30.0,100
124,245654440,1643160180,54.22,primary_link,40.0,250
125,245654440,12447084176,47.27,secondary,40.0,200
126,245654461,468268130,18.44,tertiary,30.0,100
127,245654461,10885618341,1171.14,tertiary,30.0,100
128,245654461,467125643,295.84,tertiary,30.0,100
129,245654509,6078180496,6.95,tertiary,30.0,100
130,245654509,588669492,302.39,tertiary,30.0,100
131,245654509,11953569096,279.59,secondary,40.0,200
132,245654566,1643210453,8.9,tertiary,30.0,100
133,245654566,1643210456,15.64,tertiary,30.0,100
134,245654580,7104166103,13.9,secondary_link,35.0,150
135,245654580,6215526119,293.53,secondary,40.0,200
136,245654606,461490081,198.2,secondary,40.0,200
137,245654615,1643105899,91.37,secondary,40.0,200
138,245654615,1643093983,70.71,primary_link,40.0,250
139,245654715,1643210508,160.24,secondary,40.0,200
140,245654715,485953822,221.27,secondary,40.0,200
141,245654765,12555901906,54.47,motorway_link,70.0,450
142,245654765,245655253,1024.46,primary,50.0,300
143,245654845,506224427,204.33,tertiary,30.0,100
144,245654845,10885603689,22.11,secondary,40.0,200
145,245654845,10885590276,29.04,secondary,40.0,200
146,245654862,459024366,57.4,secondary,40.0,200
147,245654875,10885590282,6.11,secondary,40.0,200
148,245654875,245655166,574.94,tertiary,30.0,100
149,245654949,458881254,9.25,secondary,40.0,200
150,245654990,10885618341,5.92,tertiary,30.0,100
151,245654990,10885603696,453.67,secondary,40.0,200
152,245655046,10017787219,7.93,secondary,40.0,200
153,245655046,6553104160,19.92,secondary,40.0,200
154,245655046,6553104157,26.84,secondary,40.0,200
155,245655093,13906044047,3.24,secondary,40.0,200
156,245655093,13906044050,15.86,secondary,40.0,200
157,245655121,458966453,715.66,tertiary,30.0,100
158,245655133,610283487,338.1,secondary,40.0,200
159,245655133,13905428417,570.47,tertiary,30.0,100
160,245655133,6553104160,272.93,secondary,40.0,200
161,245655166,10885590287,8.31,tertiary,30.0,100
162,245655166,245655226,24.65,tertiary,30.0,100
163,245655166,245655329,559.32,tertiary,30.0,100
164,245655201,245655339,182.11,tertiary,30.0,100
165,245655201,858671995,185.23,tertiary,30.0,100
166,245655201,858509814,88.52,tertiary,30.0,100
167,245655214,5878590700,5.56,tertiary,30.0,100
168,245655214,13780043912,18.36,secondary,40.0,200
169,245655223,2244632754,698.1,secondary,40.0,200
170,245655226,456044841,25.68,tertiary,30.0,100
171,245655226,10885590288,7.88,tertiary,30.0,100
172,245655226,459499511,17.58,tertiary,30.0,100
173,245655230,858671995,14.94,tertiary,30.0,100
174,245655230,3213739255,95.76,tertiary,30.0,100
175,245655230,858938668,360.08,primary_link,40.0,250
176,245655253,486385346,11.55,primary_link,40.0,250
177,245655253,7384417484,491.94,primary,50.0,300
178,245655288,13905111256,4.91,secondary_link,35.0,150
179,245655288,13905111257,42.63,secondary,40.0,200
180,245655296,2176144797,485.11,tertiary,30.0,100
181,245655296,3213739255,207.56,tertiary,30.0,100
182,245655305,10687844876,14.15,secondary,40.0,200
183,245655305,10282069985,428.85,tertiary,30.0,100
184,245655329,459600709,7.6,secondary,40.0,200
185,245655329,13906044047,346.94,secondary,40.0,200
186,245655329,245655166,559.32,tertiary,30.0,100
187,245655336,10885804557,140.05,secondary,40.0,200
188,245655336,610283487,114.7,secondary,40.0,200
189,245655339,10885845626,4.73,secondary,40.0,200
190,245655339,245655305,97.76,secondary,40.0,200
191,245655412,10885845628,8.98,secondary,40.0,200
192,245655412,620393234,87.31,secondary,40.0,200
193,245655580,6554614261,10.86,secondary,40.0,200
194,245655580,2442510069,107.28,secondary,40.0,200
195,245655702,2442510072,11.94,secondary,40.0,200
196,245655702,7383810759,179.59,secondary,40.0,200
197,245655710,2442510061,15.42,secondary,40.0,200
198,245655710,10885746539,241.74,primary,50.0,300
199,245655733,10282069986,39.92,tertiary,30.0,100
200,245655733,245655339,444.74,tertiary,30.0,100
201,245655733,245655956,296.88,tertiary,30.0,100
202,245655752,245655771,15.11,secondary,40.0,200
203,245655752,13701145280,194.03,primary,50.0,300
204,245655758,10885739628,9.4,secondary,40.0,200
205,245655758,471972441,154.65,secondary,40.0,200
206,245655771,10885746540,9.45,primary,50.0,300
207,245655771,245655800,40.66,secondary,40.0,200
208,245655778,10885780893,4.16,secondary,40.0,200
209,245655778,13905428412,224.95,tertiary,30.0,100
210,245655778,10277881688,699.42,secondary,40.0,200
211,245655778,7384002984,90.03,tertiary,30.0,100
212,245655800,10885746541,8.22,secondary_link,35.0,150
213,245655800,13905111275,145.96,secondary,40.0,200
214,245655857,620393213,24.23,secondary,40.0,200
215,245655857,245655412,275.46,secondary,40.0,200
216,245655876,477585773,21.35,secondary,40.0,200
217,245655876,2442510074,13.89,secondary,40.0,200
218,245655878,13904524531,23.82,secondary,40.0,200
219,245655878,245656283,287.68,secondary,40.0,200
220,245655908,2176144830,12.92,secondary,40.0,200
221,245655908,10720897942,42.64,primary,50.0,300
222,245655919,10277863437,41.81,secondary,40.0,200
223,245655919,7384002972,24.81,secondary_link,35.0,150
224,245655932,7384002973,15.44,tertiary,30.0,100
225,245655932,10277863438,19.1,tertiary,30.0,100
226,245655932,245655939,236.55,secondary,40.0,200
227,245655939,7384002979,11.39,secondary,40.0,200
228,245655939,245656414,400.83,secondary,40.0,200
229,245655939,12408545955,319.73,secondary,40.0,200
230,245655956,245655733,296.88,tertiary,30.0,100
231,245655956,7384002979,299.58,secondary,40.0,200
232,245655959,2244632843,146.14,tertiary,30.0,100
233,245656009,245656020,189.17,secondary,40.0,200
234,245656020,10885845674,7.6,tertiary,30.0,100
235,245656020,7384062488,528.88,secondary,40.0,200
236,245656042,245656280,175.88,tertiary,30.0,100
237,245656042,610244325,174.85,tertiary,30.0,100
238,245656062,618682503,13.98,primary,50.0,300
239,245656062,13906038541,119.72,secondary,40.0,200
240,245656132,700736537,33.52,tertiary,30.0,100
241,245656132,11068221213,481.08,tertiary,30.0,100
242,245656173,10614318013,43.96,tertiary,30.0,100
243,245656173,700736537,216.63,tertiary,30.0,100
244,245656173,245656228,17.99,tertiary,30.0,100
245,245656188,245656521,481.14,tertiary,30.0,100
246,245656188,10277817411,323.09,tertiary,30.0,100
247,245656228,245655959,245.55,tertiary,30.0,100
248,245656228,2176144839,33.26,tertiary,30.0,100
249,245656228,245656173,17.99,tertiary,30.0,100
250,245656236,618682506,11.03,primary,50.0,300
251,245656236,7384691411,131.86,primary,50.0,300
252,245656245,11929911055,298.0,primary,50.0,300
253,245656245,2176144839,13.47,tertiary,30.0,100
254,245656280,10885739622,311.24,tertiary,30.0,100
255,245656283,7384002972,686.23,tertiary,30.0,100
256,245656283,10885774562,124.26,secondary,40.0,200
257,245656283,245655878,287.68,secondary,40.0,200
258,245656354,245657056,874.44,tertiary,30.0,100
259,245656354,10614318015,347.12,tertiary,30.0,100
260,245656354,700736537,103.96,tertiary,30.0,100
261,245656387,4294951431,6.68,secondary,40.0,200
262,245656387,245656627,218.95,secondary,40.0,200
263,245656408,10885757448,7.22,secondary,40.0,200
264,245656408,10885774562,6.95,secondary,40.0,200
265,245656408,10885774555,317.46,secondary,40.0,200
266,245656411,10885774555,12.98,tertiary,30.0,100
267,245656411,610227598,482.06,tertiary,30.0,100
268,245656411,10885774562,326.06,secondary,40.0,200
269,245656412,10885774568,10.66,tertiary,30.0,100
270,245656412,245656961,512.36,tertiary,30.0,100
271,245656412,10885774557,181.12,secondary,40.0,200
272,245656414,245655939,400.83,secondary,40.0,200
273,245656414,12698412249,583.98,secondary,40.0,200
274,245656414,245656434,345.77,secondary,40.0,200
275,245656414,10885774557,255.14,secondary,40.0,200
276,245656434,861155618,21.19,secondary,40.0,200
277,245656434,245656414,345.77,secondary,40.0,200
278,245656434,861209912,189.72,primary,50.0,300
279,245656521,245656188,481.14,tertiary,30.0,100
280,245656521,10277817414,300.82,tertiary,30.0,100
281,245656521,10277817418,208.35,tertiary,30.0,100
282,245656594,10277817414,29.92,tertiary,30.0,100
283,245656594,10277817410,32.66,tertiary,30.0,100
284,245656594,12082381194,393.88,tertiary,30.0,100
285,245656627,9169171618,7.66,tertiary,30.0,100
286,245656627,13906012110,10.24,secondary,40.0,200
287,245656627,12721928614,27.73,tertiary,30.0,100
288,245656633,2442809536,578.23,tertiary,30.0,100
289,245656633,245657099,475.46,primary,50.0,300
290,245656677,6925978233,9.56,tertiary,30.0,100
291,245656677,4294951462,410.32,primary,50.0,300
292,245656730,1148581217,15.72,secondary,40.0,200
293,245656730,13093331336,214.18,secondary,40.0,200
294,245656894,4294951453,8.34,secondary,40.0,200
295,245656894,245657186,370.7,secondary,40.0,200
296,245656961,10885804881,13.51,secondary,40.0,200
297,245656961,245656412,512.36,tertiary,30.0,100
298,245656961,245657105,175.44,tertiary,30.0,100
299,245656961,245657095,223.42,secondary,40.0,200
300,245656964,620382315,10.87,primary,50.0,300
301,245656964,2258304318,270.73,primary,50.0,300
302,245657049,12698412249,8.9,secondary,40.0,200
303,245657049,10883734226,10.87,secondary,40.0,200
304,245657049,245656964,414.96,primary,50.0,300
305,245657056,245656354,874.44,tertiary,30.0,100
306,245657056,13820969942,195.39,tertiary,30.0,100
307,245657056,10232942652,23.66,tertiary,30.0,100
308,245657095,10580688537,10.78,secondary,40.0,200
309,245657095,245656961,223.42,secondary,40.0,200
310,245657095,245657105,135.31,primary,50.0,300
311,245657099,7379493826,7.36,tertiary,30.0,100
312,245657099,4343426716,350.4,secondary,40.0,200
313,245657099,245657282,250.78,primary,50.0,300
314,245657105,245656677,61.66,primary,50.0,300
315,245657105,12639940739,9.37,tertiary,30.0,100
316,245657105,245656961,175.44,tertiary,30.0,100
317,245657123,12395295568,12.39,motorway_link,70.0,450
318,245657123,13093331341,130.31,secondary,40.0,200
319,245657186,6925978243,8.6,secondary,40.0,200
320,245657186,10277817430,498.2,primary,50.0,300
321,245657229,4343426716,123.88,secondary,40.0,200
322,245657229,10883705290,8.19,secondary,40.0,200
323,245657245,10877664325,10.13,secondary,40.0,200
324,245657245,4307040478,55.67,primary,50.0,300
325,245657282,7379493821,7.31,tertiary,30.0,100
326,245657282,245657468,258.14,primary,50.0,300
327,245657292,10281786083,20.37,tertiary,30.0,100
328,245657292,245657498,336.71,tertiary,30.0,100
329,245657292,245657056,264.6,tertiary,30.0,100
330,245657418,10883734239,18.3,secondary,40.0,200
331,245657418,1375482674,18.14,secondary,40.0,200
332,245657418,245657576,166.92,tertiary,30.0,100
333,245657468,7379493814,7.22,tertiary,30.0,100
334,245657468,493911795,551.08,tertiary,30.0,100
335,245657468,10127913587,238.93,primary,50.0,300
336,245657498,245657831,415.46,tertiary,30.0,100
337,245657498,245657292,336.71,tertiary,30.0,100
338,245657498,245657786,573.74,tertiary,30.0,100
339,245657519,4294951473,14.15,tertiary,30.0,100
340,245657519,13816398948,915.19,secondary,40.0,200
341,245657543,245657650,149.58,tertiary,30.0,100
342,245657576,1375482697,13.34,tertiary,30.0,100
343,245657576,245657650,529.94,tertiary,30.0,100
344,245657649,245657650,111.08,tertiary,30.0,100
345,245657649,13303028466,497.51,tertiary,30.0,100
346,245657649,245657811,237.31,tertiary,30.0,100
347,245657649,6925978233,677.39,tertiary,30.0,100
348,245657650,245657649,111.08,tertiary,30.0,100
349,245657650,245657543,149.58,tertiary,30.0,100
350,245657650,245657576,529.94,tertiary,30.0,100
351,245657650,245657811,220.4,tertiary,30.0,100
352,245657656,6167841739,49.5,tertiary,30.0,100
353,245657656,6167841744,49.31,secondary,40.0,200
354,245657656,1375482674,342.73,secondary,40.0,200
355,245657727,5879197463,1480.31,tertiary,30.0,100
356,245657747,1375482733,15.44,tertiary,30.0,100
357,245657747,245657844,730.47,tertiary,30.0,100
358,245657747,2258304338,322.65,trunk_link,50.0,350
359,245657786,10277786597,202.16,tertiary,30.0,100
360,245657786,493925226,429.3,tertiary,30.0,100
361,245657786,245657498,573.74,tertiary,30.0,100
362,245657811,245658183,522.86,tertiary,30.0,100
363,245657811,245657650,220.4,tertiary,30.0,100
364,245657811,245657649,237.31,tertiary,30.0,100
365,245657814,7425930309,96.85,tertiary,30.0,100
366,245657814,2216800747,317.16,primary_link,40.0,250
367,245657814,245657844,89.48,tertiary,30.0,100
368,245657817,245657831,70.65,tertiary,30.0,100
369,245657817,2443096207,129.14,tertiary,30.0,100
370,245657831,10277786593,44.31,tertiary,30.0,100
371,245657831,245657817,70.65,tertiary,30.0,100
372,245657831,10277786597,42.88,tertiary,30.0,100
373,245657831,245657498,415.46,tertiary,30.0,100
374,245657844,245658193,504.36,tertiary,30.0,100
375,245657844,245657747,730.47,tertiary,30.0,100
376,245657844,493911795,712.07,tertiary,30.0,100
377,245657844,245657814,89.48,tertiary,30.0,100
378,245657868,245658027,115.51,tertiary,30.0,100
379,245657868,10281800020,125.01,tertiary,30.0,100
380,245657868,493925820,189.62,tertiary,30.0,100
381,245658027,245657868,115.51,tertiary,30.0,100
382,245658027,493925226,212.26,tertiary,30.0,100
383,245658027,10277786593,260.32,tertiary,30.0,100
384,245658099,10281800020,21.58,tertiary,30.0,100
385,245658099,10281796502,581.59,tertiary,30.0,100
386,245658099,528890449,91.39,tertiary,30.0,100
387,245658111,13509287422,408.19,tertiary,30.0,100
388,245658111,1966835497,157.75,trunk,60.0,400
389,245658183,245657811,522.86,tertiary,30.0,100
390,245658183,1286566730,28.62,secondary,40.0,200
391,245658184,245658183,24.53,secondary,40.0,200
392,245658184,6167841739,839.16,tertiary,30.0,100
393,245658185,1966835497,16.32,tertiary,30.0,100
394,245658185,674906578,228.73,trunk,60.0,400
395,245658193,245658202,436.21,tertiary,30.0,100
396,245658193,245657844,504.36,tertiary,30.0,100
397,245658193,245658213,256.15,tertiary,30.0,100
398,245658193,245658354,342.76,tertiary,30.0,100
399,245658202,6944189892,25.16,tertiary,30.0,100
400,245658202,245658193,436.21,tertiary,30.0,100
401,245658213,7379493802,7.64,tertiary,30.0,100
402,245658213,245658362,267.26,primary,50.0,300
403,245658213,245658193,256.15,tertiary,30.0,100
404,245658276,1286566727,24.85,secondary,40.0,200
405,245658276,13806617654,53.8,secondary,40.0,200
406,245658309,6944189888,216.36,tertiary,30.0,100
407,245658309,1966835489,17.57,tertiary,30.0,100
408,245658309,245658185,130.16,trunk,60.0,400
409,245658338,768595237,10.92,secondary,40.0,200
410,245658338,6167841754,1408.22,primary,50.0,300
411,245658354,245658362,170.59,tertiary,30.0,100
412,245658354,245658402,125.13,tertiary,30.0,100
413,245658354,245658193,342.76,tertiary,30.0,100
414,245658362,11929937326,7.56,tertiary,30.0,100
415,245658362,245658427,239.44,primary,50.0,300
416,245658362,245658354,170.59,tertiary,30.0,100
417,245658378,1966835479,21.13,tertiary,30.0,100
418,245658378,245658407,126.48,tertiary,30.0,100
419,245658378,245658309,267.42,trunk,60.0,400
420,245658402,245658407,474.77,tertiary,30.0,100
421,245658402,245658430,122.34,tertiary,30.0,100
422,245658402,245658354,125.13,tertiary,30.0,100
423,245658407,245658402,474.77,tertiary,30.0,100
424,245658407,245658448,194.1,tertiary,30.0,100
425,245658407,245658378,126.48,tertiary,30.0,100
426,245658427,10883677654,15.55,secondary,40.0,200
427,245658427,245658430,78.44,tertiary,30.0,100
428,245658427,700851701,495.51,primary,50.0,300
429,245658430,245658448,371.51,tertiary,30.0,100
430,245658430,245658494,187.12,tertiary,30.0,100
431,245658430,245658402,122.34,tertiary,30.0,100
432,245658448,245658430,371.51,tertiary,30.0,100
433,245658448,245658407,194.1,tertiary,30.0,100
434,245658448,245658533,387.89,tertiary,30.0,100
435,245658494,10883677660,4.99,tertiary,30.0,100
436,245658494,245658517,127.19,secondary,40.0,200
437,245658517,245658533,100.67,secondary,40.0,200
438,245658517,5921457076,6.02,secondary,40.0,200
439,245658517,13366490024,652.44,tertiary,30.0,100
440,245658533,245658517,100.67,secondary,40.0,200
441,245658533,245658557,472.52,secondary,40.0,200
442,245658533,245658448,387.89,tertiary,30.0,100
443,245658557,1966835498,16.84,secondary,40.0,200
444,245658557,245658533,472.52,secondary,40.0,200
445,245658557,245658378,502.04,trunk,60.0,400
446,245658682,700851641,95.38,tertiary,30.0,100
447,245658682,12322937974,345.38,primary,50.0,300
448,245658701,5369728233,20.82,secondary,40.0,200
449,245658701,245658557,262.77,trunk,60.0,400
450,245658797,296134404,760.34,secondary,40.0,200
451,245658797,768595345,369.14,primary,50.0,300
452,245658797,768595285,12.52,secondary,40.0,200
453,245658865,12377696902,23.35,primary,50.0,300
454,245658865,456145174,37.1,primary,50.0,300
455,245658898,12393653660,14.11,tertiary,30.0,100
456,245658898,493925226,2828.09,tertiary,30.0,100
457,245658939,10277749856,10.16,secondary,40.0,200
458,245658939,1165333767,373.49,secondary,40.0,200
459,245658939,10277749847,200.6,tertiary,30.0,100
460,245658976,10277749858,19.99,tertiary,30.0,100
461,245658976,245659166,267.42,trunk,60.0,400
462,245659166,1165388887,22.36,secondary,40.0,200
463,245659166,2258304412,216.89,trunk,60.0,400
464,245659173,1650707622,15.74,tertiary,30.0,100
465,245659173,11924900054,48.93,tertiary,30.0,100
466,245659198,11925677534,6.36,primary,50.0,300
467,245659198,11925677531,33.3,secondary,40.0,200
468,245659219,7735948667,5.89,tertiary,30.0,100
469,245659219,700851641,1111.46,tertiary,30.0,100
470,245659219,3568776812,465.45,tertiary,30.0,100
471,245659355,245659363,70.79,tertiary,30.0,100
472,245659363,245659355,70.79,tertiary,30.0,100
473,245659363,6497342997,13.91,tertiary,30.0,100
474,245659363,7374507906,7.85,primary,50.0,300
475,245659483,768599586,11.82,primary,50.0,300
476,245659483,245659597,210.15,primary,50.0,300
477,245659488,10277780863,16.83,tertiary,30.0,100
478,245659488,10277780870,306.33,tertiary,30.0,100
479,245659597,13375816952,22.05,primary,50.0,300
480,245659680,6431266164,7.96,secondary,40.0,200
481,245659680,7374507910,7.32,secondary,40.0,200
482,245659680,12901660000,719.19,primary,50.0,300
483,245659720,1650345897,371.25,tertiary,30.0,100
484,245659749,471066613,12.41,tertiary,30.0,100
485,245659749,245659862,128.9,secondary,40.0,200
486,245659759,11927565924,22.26,trunk,60.0,400
487,245659759,5848596597,25.6,secondary,40.0,200
488,245659769,13073741404,32.99,secondary,40.0,200
489,245659769,6165302165,124.88,secondary,40.0,200
490,245659769,245660066,533.55,primary,50.0,300
491,245659811,245660062,277.13,secondary,40.0,200
492,245659852,6165302166,7.02,tertiary,30.0,100
493,245659852,12836824093,467.43,secondary,40.0,200
494,245659862,11925633446,10.81,secondary,40.0,200
495,245659862,13828513302,144.1,secondary,40.0,200
496,245659891,768651100,15.87,secondary,40.0,200
497,245659891,7366043901,624.73,primary,50.0,300
498,245660022,11925102340,16.59,tertiary,30.0,100
499,245660022,11925084681,150.54,tertiary,30.0,100
500,245660062,6165302156,31.97,secondary,40.0,200
501,245660066,2444311224,34.6,secondary,40.0,200
502,245660066,471942852,22.79,secondary,40.0,200
503,245660066,11384605403,108.7,primary,50.0,300
504,245660069,1179221116,24.32,trunk_link,50.0,350
505,245660069,2258304456,209.67,trunk,60.0,400
506,245660083,2444311229,32.11,secondary,40.0,200
507,245660083,2444311221,10.22,secondary,40.0,200
508,245660083,12816071781,324.83,secondary,40.0,200
509,245660124,245660066,36.05,secondary,40.0,200
510,245660124,2444311224,27.15,secondary_link,35.0,150
511,245660192,2444311230,11.56,secondary,40.0,200
512,245660192,2442886083,376.81,secondary,40.0,200
513,245660192,245660381,300.05,secondary,40.0,200
514,245660304,768662264,12.16,primary,50.0,300
515,245660304,296353488,220.09,primary,50.0,300
516,245660316,10282040392,10.85,tertiary,30.0,100
517,245660316,12298775319,89.75,secondary,40.0,200
518,245660329,10877277214,17.67,tertiary,30.0,100
519,245660329,10877277215,33.44,primary,50.0,300
520,245660329,11461537126,764.59,tertiary,30.0,100
521,245660365,2446329348,14.63,primary,50.0,300
522,245660365,7394064166,865.66,tertiary,30.0,100
523,245660369,6495203633,8.11,secondary,40.0,200
524,245660369,7374459516,6.63,secondary,40.0,200
525,245660369,245660696,556.3,primary,50.0,300
526,245660380,245660329,440.58,primary,50.0,300
527,245660380,10883072798,14.04,secondary,40.0,200
528,245660380,11043951305,125.35,tertiary,30.0,100
529,245660381,2442886081,11.26,secondary,40.0,200
530,245660381,6430837133,10.37,secondary,40.0,200
531,245660381,13535811790,21.09,secondary,40.0,200
532,245660540,10277717591,12.01,secondary,40.0,200
533,245660540,2442886089,268.38,primary,50.0,300
534,245660549,11043912919,18.2,tertiary,30.0,100
535,245660549,1650385405,178.39,primary,50.0,300
536,245660595,10877451382,8.54,primary,50.0,300
537,245660619,7389083468,788.63,tertiary,30.0,100
538,245660619,587976199,293.06,tertiary,30.0,100
539,245660634,1645876426,15.13,secondary,40.0,200
540,245660634,13565929609,45.57,primary,50.0,300
541,245660634,245660731,216.88,secondary,40.0,200
542,245660650,2442886083,226.79,primary,50.0,300
543,245660696,12721918107,5.35,secondary,40.0,200
544,245660696,7374320616,15.75,primary,50.0,300
545,245660722,1650716617,867.08,secondary,40.0,200
546,245660722,2929595433,197.76,primary,50.0,300
547,245660722,631480519,142.14,primary,50.0,300
548,245660731,245660634,216.88,secondary,40.0,200
549,245660731,10617498617,285.36,secondary,40.0,200
550,245660731,6491605226,573.99,secondary,40.0,200
551,245660731,245660818,274.14,tertiary,30.0,100
552,245660818,245660595,209.28,primary,50.0,300
553,245660818,245660731,274.14,tertiary,30.0,100
554,245660832,12260708836,436.99,primary,50.0,300
555,245660832,536726906,23.07,trunk,60.0,400
556,245660921,13543285311,10.81,primary,50.0,300
557,245660938,13545135274,5.31,tertiary,30.0,100
558,245660938,13545135272,15.22,primary,50.0,300
559,245660948,7375884906,498.73,primary,50.0,300
560,245661018,1490200570,47.28,primary,50.0,300
