id,latitude,longitude
206291068,19.0635774,72.9791309
245653028,18.9060052,72.8163986
245653078,18.9111765,72.8208639
245653413,18.9187946,72.8255542
245653464,18.9189023,72.8290725
245653559,18.9210098,72.8331896
245653613,18.9210264,72.8263833
245653633,18.9218281,72.8312042
245653649,18.921752,72.8278729
245653665,18.9230594,72.8330804
245653671,18.9228355,72.8294226
245653718,18.9242436,72.8321271
245653745,18.9247201,72.8318738
245653748,18.9250789,72.8323808
245653753,18.9250909,72.8321652
245653757,18.9252868,72.8325637
245653771,18.9254002,72.8320205
245653777,18.9253686,72.8325651
245653781,18.9255033,72.8320756
245653783,18.9255944,72.8323116
245653788,18.9243642,72.8247774
245653820,18.9263905,72.8280343
245653830,18.9264383,72.8270585
245653840,18.9262685,72.8205205
245653855,18.9269393,72.8196463
245653869,18.9275545,72.8217046
245653870,18.9275189,72.8255127
245653871,18.9276036,72.8216338
245653901,18.9280825,72.8317434
245653917,18.9283801,72.834156
245653923,18.9285018,72.8281185
245653928,18.9296497,72.8217873
245653956,18.9294649,72.8346212
245653961,18.9296322,72.8281582
245654001,18.9316104,72.8228443
245654003,18.9307601,72.8314082
245654036,18.9313716,72.8349562
245654041,18.9319398,72.8313121
245654042,18.9316971,72.8317041
245654056,18.9320319,72.8343722
245654066,18.9322434,72.8332653
245654108,18.9328441,72.8279884
245654161,18.9341185,72.8389331
245654164,18.9340181,72.835829
245654172,18.9344956,72.837098
245654174,18.9342452,72.8337667
245654186,18.9345617,72.8326934
245654191,18.9346588,72.832398
245654226,18.9349887,72.8313947
245654283,18.9353852,72.8308679
245654326,18.936547,72.840672
245654356,18.9378023,72.8397598
245654369,18.9382131,72.8379744
245654376,18.9383664,72.8350755
245654379,18.9384934,72.8360063
245654381,18.9384195,72.8369814
245654385,18.9387779,72.8339899
245654386,18.938707,72.8346296
245654426,18.9393421,72.8282836
245654440,18.9401375,72.8344023
245654461,18.9410646,72.7939174
245654509,18.9426451,72.8307511
245654566,18.9425953,72.8269954
245654580,18.9439069,72.8233577
245654606,18.9439279,72.8252849
